currentid   ICAO_type
AP-CAA      BE20            
AP-CAB      BE20            
AP-CAC      BE20            
AP-JDW      BE20            
AP-MAM      C441            
AP-MHM      BE20            
AP-MUM      P180            
AP-PIR      BE20            
AP-PLE      BE20            
AR-NYB      BN2T            
AR-NYC      BN2T            
AR-NYD      BN2T            
Unknown     B350            
B-1219      B350            
V-4110      M600            
V-4111      M600            
V-4112      M600            
035         B350            
045         B350            
303         B350            
365         B350            
444         B350            
701         C208            
702         C208            
703         C208            
704         C208            
705         C208            
706         C208            
709         C208            
710EX       C208            
711         C208            
712         C208            
713         C208            
714         C208            
765         B350            
805         B350            
901         B350            
904         B350            
1005        C208            
1007        C208            
1011        C208            
1231        C208            
11667       AC90            
11733       AC90            
5077        C208            
5248        C208            
5583        C208            
5585        C208            
B-          MU2             
B-          B360            
B-          EPIC            
B-          B360            
B-          C208            
B-          C208            
B-          KODI            
B-00CE      P750            
B-00NC      EPIC            
B-0AHG      P750            
B-10AR      B350            
B-10AS      B350            
B-10AZ      C208            
B-10C1      BE9L            
B-10C3      KODI            
B-10CB      C208            
B-10CD      KODI            
B-10CE      KODI            
B-10CF      C208            
B-10CP      C208            
B-10CQ      C208            
B-10CR      C208            
B-10CS      C208            
B-10CV      P750            
B-10DG      C208            
B-10DH      C208            
B-10DJ      C208            
B-10DZ      B350            
B-10E5      B350            
B-10E6      B350            
B-10EF      P750            
B-10EH      B350            
B-10EJ      C208            
B-10EK      C208            
B-10EL      C208            
B-10EM      C208            
B-10EN      C208            
B-10EP      C208            
B-10EQ      P750            
B-10ET      B350            
B-10EY      C208            
B-10F5      C208            
B-10FA      C208            
B-10FC      C208            
B-10FG      C208            
B-10FH      C208            
B-10FK      KODI            
B-10FL      KODI            
B-10FM      PC6T            
B-10FN      PC6T            
B-10FP      PC6T            
B-10FQ      PC6T            
B-10FS      PC6T            
B-10FT      PC6T            
B-10FX      C208            
B-10FY      C208            
B-10FZ      C208            
B-10G7      P750            
B-10G8      P750            
B-10GQ      C208            
B-10GR      C208            
B-10GY      KODI            
B-10H5      PC12            
B-10HE      P750            
B-10HF      KODI            
B-10HG      PC12            
B-10HH      PC12            
B-10HX      KODI            
B-10HY      C208            
B-10HZ      C208            
B-10J5      P750            
B-10JD      KODI            
B-10JJ      C208            
B-10JQ      B350            
B-10K2      KODI            
B-10K7      PC12            
B-10KJ      PC12            
B-10KK      B350            
B-10KL      B350            
B-10KM      B350            
B-10KN      B350            
B-10LH      P750            
B-10LX      BE9L            
B-10LZ      BE9L            
B-10MA      P750            
B-10ML      C208            
B-10MM      C208            
B-10N1      KODI            
B-10NN      B350            
B-10PS      KODI            
B-10PT      KODI            
B-10PY      BE9L            
B-10QZ      KODI            
B-10R8      P750            
B-10RP      BE9L            
B-10RU      PC12            
B-10SJ      PC6T            
B-10SK      PC6T            
B-10SL      PC6T            
B-10SM      PC6T            
B-10SN      PC6T            
B-10SP      PC6T            
B-10SZ      KODI            
